#time	#tas
2	0
7.02234636871508	90.0277
12.0446927374302	90.3027282463133
17.0670391061453	90.5789932983107
22.0893854748603	90.8565025066369
27.1117318435754	91.1352632762848
32.1340782122905	91.415283067076
37.1564245810056	91.6965693941474
42.1787709497207	91.9791298284412
47.2011173184358	92.2629719972015
52.2234636871508	92.548103584475
57.2458100558659	92.8345323316176
62.268156424581	93.1222660378053
67.2905027932961	93.4113125605518
72.3128491620112	93.7016798162301
77.3351955307263	93.9933757806005
82.3575418994413	94.2864084893436
87.3798882681564	94.5807860385993
92.4022346368715	94.8765165855107
97.4245810055866	95.173608348775
102.446927374302	95.4720696091982
107.469273743017	95.7719087102581
112.491620111732	96.0731340586712
117.513966480447	96.3757541249664
122.536312849162	96.6797774440647
127.558659217877	160.718352334863
132.581005586592	161.124966293636
137.603351955307	161.533094214051
142.625698324022	161.942743544108
147.648044692737	162.353921777379
152.670391061453	162.766636453341
157.692737430168	163.180895157713
162.715083798883	163.596705522794
167.737430167598	164.014075227805
172.759776536313	164.433011999238
177.782122905028	164.853523611198
182.804469273743	165.27561788576
187.826815642458	165.699302693318
192.849162011173	166.124585952947
197.871508379888	166.551475632758
202.893854748603	166.979979750267
207.916201117318	167.410106372757
212.938547486034	167.841863617649
217.960893854749	168.275259652875
222.983240223464	168.710302697256
228.005586592179	169.147001020878
233.027932960894	169.585362945475
238.050279329609	170.025396844818
243.072625698324	170.4671111451
248.094972067039	170.910514325334
253.117318435754	171.355614917743
258.139664804469	171.802421508164
263.162011173184	172.250942736451
268.184357541899	172.701187296877
273.206703910615	173.153163938551
278.22905027933	173.606881465826
283.251396648045	174.062348738719
288.27374301676	174.519574673332
293.296089385475	174.978568242277
298.31843575419	175.439338475102
303.340782122905	175.901894458728
308.36312849162	176.36624533788
313.385474860335	176.832400315532
318.40782122905	177.300368653344
323.430167597765	177.77015967212
328.45251396648	178.241782752249
333.474860335196	178.715247334167
338.497206703911	179.190562918818
343.519553072626	179.667739068114
348.541899441341	180.146785405403
353.564245810056	180.627711615947
358.586592178771	181.110527447391
363.608938547486	181.595242710251
368.631284916201	182.081867278392
373.653631284916	182.570411089524
378.675977653631	183.060884145692
383.698324022346	183.553296513776
388.720670391061	184.047658325992
393.743016759777	184.543979780402
398.765363128492	185.042271141425
403.787709497207	185.542542740352
408.810055865922	186.044804975869
413.832402234637	186.549068314583
418.854748603352	187.055343291553
423.877094972067	187.563640510823
428.899441340782	188.073970645968
433.921787709497	188.432417075907
438.944134078212	188.791868603177
443.966480446927	189.152328950465
448.988826815643	189.513801857601
454.011173184358	189.876291081654
459.033519553073	190.239800397024
464.055865921788	190.604333595544
469.078212290503	190.969894486568
474.100558659218	191.336486897073
479.122905027933	191.704114671756
484.145251396648	192.072781673133
489.167597765363	192.442491781633
494.189944134078	192.813248895703
499.212290502793	193.185056931906
504.234636871508	193.55791982502
509.256983240223	193.931841528142
514.279329608939	194.306826012788
519.301675977654	194.682877268997
524.324022346369	195.059999305434
529.346368715084	195.438196149494
534.368715083799	195.817471847405
539.391061452514	196.197830464336
544.413407821229	196.579276084502
549.435754189944	196.96181281127
554.458100558659	197.345444767268
559.480446927374	197.73017609449
564.502793296089	198.11601095441
569.525139664804	198.502953528086
574.54748603352	198.891008016274
579.569832402235	199.280178639538
584.59217877095	199.67046963836
589.614525139665	200.061885273256
594.63687150838	200.454429824886
599.659217877095	200.84810759417
604.68156424581	201.242922902399
609.703910614525	201.638880091357
614.72625698324	202.035983523431
619.748603351955	202.43423758173
624.77094972067	202.833646670207
629.793296089385	203.234215213767
634.815642458101	203.6359476584
639.837988826816	204.038848471289
644.860335195531	204.442922140938
649.882681564246	204.848173177291
654.905027932961	205.254606111855
659.927374301676	205.662225497825
664.949720670391	206.071035910205
669.972067039106	206.481041945935
674.994413407821	206.892248224015
680.016759776536	207.304659385636
685.039106145251	207.718280094303
690.061452513967	208.133115035963
695.083798882682	208.549168919138
700.106145251397	208.966446475054
705.128491620112	209.384952457768
710.150837988827	209.804691644306
