#time	#distance
2	0
7.02234636871508	450.1385
12.0446927374302	901.652141231566
17.0670391061453	1354.54710772312
22.0893854748603	1808.8296202563
27.1117318435754	2264.50593663773
32.1340782122905	2721.58235197311
37.1564245810056	3180.06519894384
42.1787709497207	3639.96084808605
47.2011173184358	4101.27570807206
52.2234636871508	4564.01622599443
57.2458100558659	5028.18888765252
62.268156424581	5493.80021784155
67.2905027932961	5960.85678064431
72.3128491620112	6429.36517972546
77.3351955307263	6899.33205862846
82.3575418994413	7370.76410107518
87.3798882681564	7843.66803126817
92.4022346368715	8318.05061419573
97.4245810055866	8793.9186559396
102.446927374302	9271.27900398559
107.469273743017	9750.13854753688
112.491620111732	10230.5042178302
117.513966480447	10712.3829884551
122.536312849162	11195.7818756754
127.558659217877	11999.3736373497
132.581005586592	12804.9984688179
137.603351955307	13612.6639398881
142.625698324022	14422.3776576087
147.648044692737	15234.1472664956
152.670391061453	16047.9804487623
157.692737430168	16863.8849245509
162.715083798883	17681.8684521648
167.737430167598	18501.9388283038
172.759776536313	19324.1038883
177.782122905028	20148.371506356
182.804469273743	20974.7495957848
187.826815642458	21803.2461092514
192.849162011173	22633.8690390161
197.871508379888	23466.6264171799
202.893854748603	24301.5263159313
207.916201117318	25138.5768477951
212.938547486034	25977.7861658833
217.960893854749	26819.1624641477
222.983240223464	27662.713977634
228.005586592179	28508.4489827384
233.027932960894	29356.3757974657
238.050279329609	30206.5027816898
243.072625698324	31058.8383374153
248.094972067039	31913.390909042
253.117318435754	32770.1689836307
258.139664804469	33629.1810911715
263.162011173184	34490.4358048538
268.184357541899	35353.9417413382
273.206703910615	36219.7075610309
278.22905027933	37087.74196836
283.251396648045	37958.0537120536
288.27374301676	38830.6515854203
293.296089385475	39705.5444266317
298.31843575419	40582.7411190072
303.340782122905	41462.2505913008
308.36312849162	42344.0818179902
313.385474860335	43228.2438195679
318.40782122905	44114.7456628346
323.430167597765	45003.5964611952
328.45251396648	45894.8053749564
333.474860335196	46788.3816116273
338.497206703911	47684.3344262214
343.519553072626	48582.6731215619
348.541899441341	49483.407048589
353.564245810056	50386.5456066687
358.586592178771	51292.0982439056
363.608938547486	52200.0744574569
368.631284916201	53110.4837938489
373.653631284916	54023.3358492965
378.675977653631	54938.6402700249
383.698324022346	55856.4067525938
388.720670391061	56776.6450442238
393.743016759777	57699.3649431258
398.765363128492	58624.5762988329
403.787709497207	59552.2890125347
408.810055865922	60482.513037414
413.832402234637	61415.2583789869
418.854748603352	62350.5350954447
423.877094972067	63288.3532979988
428.899441340782	64228.7231512287
433.921787709497	65170.8852366082
438.944134078212	66114.8445796241
443.966480446927	67060.6062243764
448.988826815643	68008.1752336644
454.011173184358	68957.5566890727
459.033519553073	69908.7556910578
464.055865921788	70861.7773590355
469.078212290503	71816.6268314684
474.100558659218	72773.3092659537
479.122905027933	73731.8298393125
484.145251396648	74692.1937476782
489.167597765363	75654.4062065863
494.189944134078	76618.4724510648
499.212290502793	77584.3977357244
504.234636871508	78552.1873348495
509.256983240223	79521.8465424902
514.279329608939	80493.3806725541
519.301675977654	81466.7950588991
524.324022346369	82442.0950554263
529.346368715084	83419.2860361738
534.368715083799	84398.3733954108
539.391061452514	85379.3625477325
544.413407821229	86362.258928155
549.435754189944	87347.0679922113
554.458100558659	88333.7952160476
559.480446927374	89322.4460965201
564.502793296089	90313.0261512922
569.525139664804	91305.5409189326
574.54748603352	92299.995959014
579.569832402235	93296.3968522117
584.59217877095	94294.7492004034
589.614525139665	95295.0586267697
594.63687150838	96297.3307758942
599.659217877095	97301.571313865
604.68156424581	98307.785928377
609.703910614525	99315.9803288338
614.72625698324	100326.160246451
619.748603351955	101338.33143436
624.77094972067	102352.499667711
629.793296089385	103368.670743779
634.815642458101	104386.850482071
639.837988826816	105407.044724428
644.860335195531	106429.259335133
649.882681564246	107453.500201019
654.905027932961	108479.773231578
659.927374301676	109508.084359067
664.949720670391	110538.439538618
669.972067039106	111570.844748348
674.994413407821	112605.305989468
680.016759776536	113641.829286396
685.039106145251	114680.420686868
690.061452513967	115721.086262048
695.083798882682	116763.832106643
700.106145251397	117808.664339019
705.128491620112	118855.589101308
710.150837988827	119904.612559529
715.173184357542	120955.740903703
720.195530726257	122008.980347966
725.217877094972	123064.337130688
730.240223463687	124121.81751459
735.262569832402	125181.427786863
740.284916201117	126243.174259286
745.307262569832	127307.063268344
750.329608938548	128373.101175354
755.351955307263	129441.294366577
760.374301675978	130511.649253349
765.396648044693	131584.172272196
770.418994413408	132658.869884962
775.441340782123	133735.748578929
780.463687150838	134814.814866947
785.486033519553	135896.075287552
790.508379888268	136979.536405097
795.530726256983	138065.204809879
800.553072625698	139153.087118263
805.575418994413	140243.189972812
810.597765363129	141335.520042419
815.620111731844	142430.08402243
820.642458100559	143642.299317148
825.664804469274	144854.098287918
830.687150837989	146065.480791659
835.709497206704	147276.446685144
840.731843575419	148486.995824995
845.754189944134	149697.128067688
850.776536312849	150906.843269551
855.798882681564	152116.141286762
860.821229050279	153325.02197535
865.843575418994	154533.485191196
870.86592178771	155741.530790031
875.888268156425	156949.158627436
880.91061452514	158156.368558844
885.932960893855	159363.160439534
890.95530726257	160569.534124638
895.977653631285	161775.489469136
901	162981.026327858
906.022346368715	164186.14455548
911.04469273743	165390.844006529
916.067039106145	166595.124535381
921.08938547486	167798.985996256
926.111731843575	169002.428243227
931.134078212291	170205.451130211
936.156424581006	171408.054510972
941.178770949721	172610.238239122
946.201117318436	173812.00216812
951.223463687151	175013.346151271
956.245810055866	176214.270041725
961.268156424581	177414.773692481
966.290502793296	178614.856956379
971.312849162011	179814.519686107
976.335195530726	181013.761734199
981.357541899441	182212.582953032
986.379888268156	183410.983194827
991.402234636872	184608.962311651
996.424581005587	185806.520155414
1001.4469273743	187003.65657787
1006.46927374302	188200.371430616
1011.49162011173	189396.664565091
1016.51396648045	190592.53583258
1021.53631284916	191787.985084208
1026.55865921788	192983.012170942
1031.58100558659	194177.616943594
1036.60335195531	195371.799252813
1041.62569832402	196565.558949094
1046.64804469274	197758.89588277
1051.67039106145	198951.809904017
1056.69273743017	200144.300862851
1061.71508379888	201336.368609126
1066.7374301676	202528.012992541
1071.75977653631	203719.233862629
1076.78212290503	204910.031068768
1081.80446927374	206100.40446017
1086.82681564246	207290.353885889
1091.84916201117	208479.879194818
1096.87150837989	209668.980235686
1101.8938547486	210857.656857062
1106.91620111732	212045.908907351
1111.93854748603	213233.736234798
1116.96089385475	214421.138687482
1121.98324022346	215608.116113321
1127.00558659218	216794.66836007
1132.02793296089	217980.795275318
1137.05027932961	219166.496706492
1142.07262569832	220351.772500853
1147.09497206704	221536.6225055
1152.11731843575	222721.046567364
1157.13966480447	223905.044533213
1162.16201117318	225088.616249648
1167.1843575419	226271.761563107
1172.20670391061	227454.480319857
1177.22905027933	228636.772366004
1182.25139664804	229818.637547483
1187.27374301676	231000.075710065
1192.29608938548	232181.086699352
1197.31843575419	233361.670360779
1202.34078212291	234541.826539613
1207.36312849162	235721.555080953
1212.38547486034	236900.855829729
1217.40782122905	238079.728630703
1222.43016759777	239258.173328466
1227.45251396648	240436.189767443
1232.4748603352	241613.777791886
1237.49720670391	242790.937245877
1242.51955307263	243967.667973331
1247.54189944134	245143.969817989
1252.56424581006	246319.842623423
1257.58659217877	247495.286233031
1262.60893854749	248670.300490043
1267.6312849162	249844.885237515
1272.65363128492	251019.04031833
1277.67597765363	252192.765575201
1282.69832402235	253366.060850666
1287.72067039106	254538.92598709
1292.74301675978	255711.360826666
1297.76536312849	256883.365211412
1302.78770949721	258054.938983172
1307.81005586592	259226.081983615
1312.83240223464	260396.794054236
1317.85474860335	261567.075036356
1322.87709497207	262736.924771118
1327.89944134078	263906.34309949
1332.9217877095	265075.329862266
1337.94413407821	266243.884900062
1342.96648044693	267412.008053316
1347.98882681564	268579.699162292
1353.01117318436	269746.958067074
1358.03351955307	270913.784607569
1363.05586592179	272080.178623507
1368.0782122905	273246.139954439
1373.10055865922	274411.668439737
1378.12290502793	275576.763918593
1383.14525139665	276741.426230022
1388.16759776536	277905.655212858
1393.18994413408	279069.450705754
1398.21229050279	280232.812547186
1403.23463687151	281395.740575445
1408.25698324022	282558.234628643
1413.27932960894	283720.294544712
1418.30167597765	284881.9201614
1423.32402234637	286043.111316273
1428.34636871508	287203.867846718
1433.3687150838	288364.189589934
1438.39106145251	289524.076382941
1443.41340782123	290683.528062574
1448.43575418994	291842.544465485
1453.45810055866	293001.12542814
1458.48044692737	294159.270786824
1463.50279329609	295316.980377633
1468.5251396648	296474.25403648
1473.54748603352	297631.091599094
1478.56983240223	298802.318558733
1483.59217877095	299973.545518372
1488.61452513966	301144.77247801
1493.63687150838	302315.999437649
1498.6592178771	303487.226397288
1503.68156424581	304658.453356926
1508.70391061453	305829.680316565
1513.72625698324	307000.907276204
1518.74860335196	308172.134235843
1523.77094972067	309343.361195481
1528.79329608939	310514.58815512
1533.8156424581	311685.815114759
1538.83798882682	312857.042074397
1543.86033519553	314028.269034036
1548.88268156425	315199.495993675
1553.90502793296	316370.722953313
1558.92737430168	317541.949912952
1563.94972067039	318713.176872591
1568.97206703911	319884.40383223
1573.99441340782	321055.630791868
1579.01675977654	322226.857751507
1584.03910614525	323398.084711146
1589.06145251397	324569.311670784
1594.08379888268	325740.538630423
1599.1061452514	326911.765590062
1604.12849162011	328082.992549701
1609.15083798883	329254.219509339
1614.17318435754	330425.446468978
1619.19553072626	331596.673428617
1624.21787709497	332767.900388255
1629.24022346369	333939.127347894
1634.2625698324	335110.354307533
1639.28491620112	336281.581267171
1644.30726256983	337452.80822681
1649.32960893855	338624.035186449
1654.35195530726	339795.262146088
1659.37430167598	340966.489105726
