#time	#height
2	0
3	0.0254
4	0.0508
5	0.0762
6	0.1016
7	0.127
8	0.1524
9	0.1778
10	0.2032
11	0.2286
12	0.254
13	0.2794
14	0.3048
15	0.3302
16	0.3556
17	0.381
18	0.4064
19	0.4318
20	0.4572
21	0.4826
22	0.508
23	0.5334
24	0.5588
25	0.5842
26	0.6096
27	0.635
28	0.6604
29	0.6858
30	0.7112
31	0.7366
32	0.762
33	0.7874
34	0.8128
35	0.8382
36	0.8636
37	0.889
38	0.9144
39	0.9398
40	0.9652
41	0.9906
42	1.016
43	1.0414
44	1.0668
45	1.0922
46	1.1176
47	1.143
48	1.1684
49	1.1938
50	1.2192
51	1.2446
52	1.27
53	1.2954
54	1.3208
55	1.3462
56	1.3716
57	1.397
58	1.4224
59	1.4478
60	1.4732
61	1.4986
62	1.524
63	1.5455138
64	1.564132381
65	1.580594023845
66	1.59544874776453
67	1.60910631708457
68	1.62187200622801
69	1.63397324463987
70	1.6455794672567
71	1.65681690310624
72	1.66777959281415
73	1.67853759664654
74	1.68914310950167
75	1.69963501657875
76	1.71004228735117
77	1.72038650407662
78	1.73068374553708
79	1.74094599042513
80	1.75118216286672
81	1.76139891133571
82	1.7716011889451
83	1.7817926857641
84	1.79197615089426
85	1.80215363241622
86	1.81232665615008
87	1.82249635883181
88	1.8326635873297
89	1.84282897256063
90	1.85299298455767
91	1.86315597349546
92	1.87331820025412
93	1.88347985918932
94	1.89364109509604
95	1.90380201584655
96	1.91396270180568
97	1.92412321284523
98	1.9342835935697
99	1.94444387720943
100	1.95460408852102
101	1.96476424594816
102	1.97492436323138
103	1.98508445060738
104	1.9952445157025
105	2.00540456419836
106	2.01556460032778
107	2.0257246272442
108	2.03588464729693
109	2.04604466223621
110	2.05620467336598
111	2.06636468165765
112	2.07652468783495
113	2.08668469243704
114	2.09684469586559
115	2.10700469841987
116	2.1171647003228
117	2.12732470174049
118	2.13748470279666
119	2.14764470358351
120	2.15780470416972
121	2.16796470460644
122	2.1781247049318
123	2.18828470517419
124	2.19844470535477
125	2.20860470548931
126	2.21876470558953
127	2.2289247056642
128	2.23908470571983
129	2.24924470576127
130	2.25940470579215
131	2.26956470581515
132	2.27972470583229
133	2.28988470584506
134	2.30004470585457
135	2.31020470586165
136	2.32036470586693
137	2.33052470587086
138	2.34068470587379
139	2.35084470587598
140	2.3610047058776
141	2.37116470587881
142	2.38132470587972
143	2.39148470588039
144	2.40164470588089
145	2.41180470588126
146	2.42196470588154
147	2.43212470588175
148	2.4422847058819
149	2.45244470588202
150	2.4626047058821
151	2.47276470588217
152	2.48292470588222
153	2.49308470588225
154	2.50324470588228
155	2.5134047058823
156	2.52356470588231
157	2.53372470588232
158	2.54388470588233
159	2.55404470588234
160	2.56420470588234
161	2.57436470588234
162	2.58452470588235
163	2.59468470588235
164	2.60484470588235
165	2.61500470588235
166	2.62516470588235
167	2.63532470588235
168	2.64548470588235
169	2.65564470588235
170	2.66580470588235
171	2.67596470588235
172	2.68612470588235
173	2.69628470588235
174	2.70644470588235
175	2.71660470588235
176	2.72676470588235
177	2.73692470588235
178	2.74708470588235
179	2.75724470588235
180	2.76740470588235
181	2.77756470588235
182	2.78772470588235
183	2.79788470588235
184	2.80804470588235
185	2.81820470588235
186	2.82836470588235
187	2.83852470588235
188	2.84868470588235
189	2.85884470588235
190	2.86900470588235
191	2.87916470588235
192	2.88932470588235
193	2.89948470588235
194	2.90964470588235
195	2.91980470588235
196	2.92996470588235
197	2.94012470588235
198	2.95028470588235
199	2.96044470588235
200	2.97060470588235
201	2.98076470588235
202	2.99092470588235
203	3.00108470588235
204	3.01124470588235
205	3.02140470588235
206	3.03156470588235
207	3.04172470588235
208	3.05188470588235
209	3.06204470588235
210	3.07220470588235
211	3.08236470588235
212	3.09252470588235
213	3.10268470588235
214	3.11284470588235
215	3.12300470588235
216	3.13316470588235
217	3.14332470588235
218	3.15348470588235
219	3.16364470588235
220	3.17380470588235
221	3.18396470588235
222	3.19412470588235
223	3.20428470588235
224	3.21444470588235
225	3.22460470588235
226	3.23476470588235
227	3.24492470588235
228	3.25508470588235
229	3.26524470588235
230	3.27540470588235
231	3.28556470588235
232	3.29572470588235
233	3.30588470588235
234	3.31604470588235
235	3.32620470588235
236	3.33636470588235
237	3.34652470588235
238	3.35668470588235
239	3.36684470588235
240	3.37700470588235
241	3.38716470588234
242	3.39732470588234
243	3.40748470588234
244	3.41764470588234
245	3.42780470588234
246	3.43796470588234
247	3.44812470588234
248	3.45828470588234
249	3.46844470588234
250	3.47860470588234
251	3.48876470588234
252	3.49892470588234
253	3.50908470588234
254	3.51924470588234
255	3.52940470588234
256	3.53956470588234
257	3.54972470588234
258	3.55988470588234
259	3.57004470588234
260	3.58020470588234
261	3.59036470588234
262	3.60052470588234
263	3.61068470588234
264	3.62084470588234
265	3.63100470588234
266	3.64116470588234
267	3.65132470588234
268	3.66148470588234
269	3.67164470588234
270	3.68180470588234
271	3.69196470588234
272	3.70212470588234
273	3.71228470588234
274	3.72244470588234
275	3.73260470588234
276	3.74276470588234
277	3.75292470588234
278	3.76308470588234
279	3.77324470588234
280	3.78340470588234
281	3.79356470588234
282	3.80372470588234
283	3.81388470588234
284	3.82404470588234
285	3.83420470588234
286	3.84436470588234
287	3.85452470588234
288	3.86468470588234
289	3.87484470588234
290	3.88500470588234
291	3.89516470588234
292	3.90532470588234
293	3.91548470588234
294	3.92564470588234
295	3.93580470588234
296	3.94596470588234
297	3.95612470588234
298	3.96628470588234
299	3.97644470588234
300	3.98660470588234
